start,goal,rl_success,rl_distance_km,rl_time_min,rl_cost,rl_num_nodes,dijkstra_success,dijkstra_distance_km,dijkstra_time_min,dijkstra_cost,dijkstra_num_nodes,distance_ratio,time_ratio,cost_ratio
386242209,251412596,False,203.64092158015143,244.41360144029258,186.94036288852598,501,True,3.7187096695772883,4.506947147605861,3.4137388974359095,13,,,
12146808000,393559526,False,536.9446657128275,644.1082612456636,492.9099214467493,501,True,1.9935326039121712,2.751616883329173,1.8300433209283733,12,,,
307899013,386242465,False,27.1596053025168,40.73940795377531,24.93225051116924,501,True,2.2670587141730865,2.842219517247109,2.0811375995973957,12,,,
307899013,386242403,False,27.1596053025168,40.73940795377531,24.93225051116924,501,True,1.6394452437741978,2.1158753867050013,1.5049946073161589,11,,,
386248599,307562211,False,36.26113559075871,54.39170338613733,33.287365788209534,501,True,1.6040425595081675,2.5390447892946737,1.4724952913998597,15,,,
307562229,393559732,False,80.28064853906272,96.43047600571428,73.69684567505735,501,True,3.0066606571087986,3.5637484543430316,2.760084908088358,12,,,
307562097,386248488,False,6.6728983326145395,6.714922412230113,6.125655031109441,501,True,2.388150155713006,3.1256804414089547,2.192298351810246,11,,,
386248450,1612612869,False,147.47099303359175,221.20648955038692,135.37692100052905,501,True,2.380766115364207,3.256272109484612,2.1855198754034557,11,,,
2722331693,307562125,False,80.22087372635998,96.26504847163334,73.64197298497356,501,True,2.4892578748894536,3.084148763778878,2.2851142434641103,10,,,
386242291,386248541,False,181.9461869731264,218.33882848108036,167.02480992040435,501,True,2.819525607534604,3.4898042257493502,2.5882967733406295,16,,,
307562169,509665388,False,7.225371263305344,7.5634379711121476,6.632819747061574,501,True,3.2499174493213725,3.8488534238209247,2.983392250534358,18,,,
386242411,386248564,False,182.29943880632376,218.75932656759267,167.3490916285038,501,True,2.1029848836957674,2.46354091479929,1.9305194371379972,9,,,
386248558,307899010,False,70.01409658042517,105.02114487063837,64.27225196437507,501,True,2.618023613186606,3.2690061766493623,2.403319924611574,15,,,
386248490,393559698,False,147.54606300521732,221.3190945078253,135.44583449605258,501,True,1.9290571656605613,3.193978829051326,1.7708555028286164,17,,,
386248541,12168852783,False,70.07808755513155,105.11713133269794,64.33099504970575,501,True,1.662832941996726,2.6876677296221176,1.5264642842304137,10,,,
307899022,386242464,False,203.4627552405059,244.16857621779528,186.77680794127173,501,True,1.9054616106764013,2.2998238620020808,1.7491950154517748,8,,,
307562169,386248563,False,7.225371263305344,7.5634379711121476,6.632819747061574,501,True,2.871820733184887,3.561644859942827,2.636303184284499,14,,,
310333646,307562097,False,39.53112488580419,59.429570443375624,36.28918379568051,501,True,2.1665917671563024,2.894844882881344,1.988909930483121,7,,,
386242340,310333518,False,165.69888971548042,248.54833457321834,152.1099508550692,501,True,2.5914179752462188,3.1876006837568758,2.3788962106897182,13,,,
12145005381,251412595,False,6.938263252785005,6.938263252784989,6.369257417553304,501,True,4.097897452713184,4.738268022316581,3.761829552458903,18,,,
3058321958,307899024,False,540.1889737542124,648.2243532037118,495.88816431597525,501,True,2.6492838347053755,3.031037371958622,2.4320165004733894,15,,,
